a	art.一，一个，任何一个;同一的;像…的;某一个 pre.每;n英文字母第一个
a1	adj.第一等的;最佳的;头等的
aa	[略]=Alcoholics Anonymous 美国酒精患者自救协会
aaa	[略]=American Automobile Association 美国汽车协会
aar	n阿尔河
aardvark	n土豚;土猪
aardwolf	n土狼
aaron	n艾伦
aaronic	adj.亚伦的
aarons beard	n[植]金丝桃之类
aarons rod	n艾伦魔杖;麒麟草
aasvogel	n秃鹰
ab	[略]=abbreviation
aba	n骆驼的毛织品;阿拉伯式斗篷
abaca	n马尼拉麻;马尼拉丝麻蕉
abaci	(pl.)n算盘
abacist	n打算盘的人
aback	adv.向後地;逆帆地
abacter	=abactor
abactor	n一次盗一群家畜者
abacus	(pl.ci)n算盘
a bad beginning makes a bad ending	n没有好的开始就没有的结局
abaddon	n地狱;无底坑
a bad excuse is better than none at all	n有藉口总比没藉口好
a bad workman always blames his tools	n笨工匠怪工具差
abaft	adv.pre.在船尾;向船尾;在…後
abalienate	v.移转;让渡(产权或财产)
abalone	n石决明;[贝]鲍鱼
abamp	nC.G.S.公制电流单位
abampere	n麻田散体
abandon	n放肆;vt.放弃;遗弃;沉迷;放纵
abandoned	adj.被抛弃的;无耻的;放荡的
abandonee	n被遗弃者，被委付者
abandoner	n遗弃者，委付者
abandonment	n(被)放弃，断念，自暴自弃，狂放;[法]遗弃，委付
abaptiston	n圆锯(用於脑部手术);环钻
abas	v.打倒
abasable	adj.可贬黜的;可降低的
abase	vt.降，贬，降低;
abasement	n贬黜，屈辱
abash	vt.使…羞愧;使…困窘
abashment	n羞耻，困惑
abasia	n[医]步行不能
abask	adv.在阳光中(曝晒);靠炉火边(取暖)
abatage	n=abattage
abate	vt.减少，缓和;[法]排除，使无效;vi.减退;中止，失效;n减低;[法]中止，失效
abatement	n减轻;减少;排除;中断
abatis	n军用鹿砦;障碍物
abatment	n消除;灭除
abattage	n为防止传染而屠杀有病的牲畜
abattoir	n屠宰场
abaxial	adj.轴外的;离开轴心的
abb	n粗羊毛线;纬丝
abba	n父神;天父;阿爸
abbacy	n大修道院院长之职位，管区，任期
abbatial	vt.使习惯
abbe	n[法]大修道院院长;僧侣;神父
abbess	n女大修道院院长;尼庵主持
abbey	n修道院，寺院;庵堂
abbeystead	n修道院所在地
abbot	n男修道院院长
abbr	[略]abbreviated;abbreviation
abbreviate	vt.省略;缩短
abbreviated	adj.简短的;小型的
abbreviation	n略语;缩语
abbreviationist	n提倡缩写的人;惯用缩写的人
abbreviator	n节略者;缩写者
abc	n初步，入门;火车时刻表;=Aberican born Chinese美国出生的中国人
abc art	n抽象派艺术
abc book	n入门
abcoulomb	nC.G.S.公制的电荷单位;绝对库伦
abc powers	n阿根廷，巴西，智利三国
abc warfare	=atomic;biological and chemical warfare原子;生物;化学之战
abd	n=All But Dissertation准博士
abdicant	n放弃者;退位者;adj.逊位的;放弃的;抛弃的
abdicate	v.弃权;放弃;退位;辞职
abdication	n放弃，弃权，让位，退职
abdicator	n放弃者，让位者
abdiel	n神仆
abdomen	n下腹部
abdominal	adj.下腹部的;腹腔的
abdominal fin	n腹鳍
abdominous	adj.大肚皮的;肥胖的
abduce	v.使外转;外展;引去
abducens	n=abducens nerve[解]外展神经;外展肌肉
abducent	adj.外展的
abducentes	pl.=abducens
abduct	vt.诱拐，拐走;[生]使外转
abduction	n诱拐;外转
abductor	n诱拐者;[解]外转肌
abe	n亚伯;Abraham的昵称
abeam	adv.[航]正横地;对着船舷地
abecedaria	pl.=abecedarium
abecedarian	n初学者 adj.初步的;基本的;学习字母的
abecedarium	(pl.abecedaria)教授字母所使用的启蒙读本
abed	adv.在床上
abel	n[圣]亚伯
abele	n白杨
abelmosk	n秋葵
abend	n异常终结
aberdeen	n苏格兰之县及都市名称，苏格兰产的粗毛猎狐狗(又名 Aberdeen terrier)
aberdevine	n鶸;金翅雀类
aberdonian	nadj.苏格兰人(的)
aberglaube	n迷信
abernethy	n[英](夹有caraway果实的)硬饼干
aberrance	n脱离正道，越轨，脱离常轨
aberrancy	=aberrance
aberrant	adj.脱离正道的，脱离常轨的;[生]变体的，异常的
aberration	n越轨;脱离正道;[医]失常;[理](透镜的)收差，像差
abet	vt.唆使;怂恿;煽动
abetment	n煽动;教唆;助长
abettor	n=abetter 嗦使者，煽动者，帮助者
abeyance	n中止;暂拦
abeyant	adj.未定的;暂搁的
abfarad	nC.G.S.公制电磁能量单位;n绝对法拉
abhenry	n绝对亨利
abhor	vt.憎恶，厌弃
abhorrence	n厌恶，极为嫌恶之物
abhorrent	adj.讨厌的，不相容的，不投合的;悖逆的
abhorrer	n憎恶者;厌恶者
abidance	n持续;居住;遵守
abidance at	居住
abidance by	固守
abidance by rules	守规，守法
abidance in	居住
abide	(abode)v.住在;保持;遵守;等候;忍受
abide by	遵守，依从，坚持
abiding	adj.持续的;持久的;不变的
abidingly	adv.持续地;不变地
abiding place	n住宅;寓所;居住地
ability	可能性
ability for	…的能力
abio	pref.无生命;无机
abiochemistry	n无机化学;无生化学
abiogenesis	n自然发生论
abiogenetic	adj.自然发生的，偶发的
abiogenist	n自然发生论者
abiogenous	adj.自然发生的
abiogeny	n=abiogenesis
abiosis	n无生命状态
abiotic	adj.不能生活的;无生命的
abiotrophy	n营养衰竭;生活力缺失
a bird in the hand is worth two in the bush	n两鸟在林不如一鸟在手
abirritant	adj.减轻刺激的;缓和刺激的
abirritate	v.镇静;消除刺激
abirritation	n减轻刺激作用;缓和作用
