a, 工
b, 了
c, 以
d, 在
e, 有
f, 地
g, 一
h, 上
i, 不
j, 是
k, 中
l, 国
m, 同
n, 民
o, 为
p, 这
q, 我
r, 的
s, 要
t, 和
u, 产
v, 发
w, 人
x, 经
y, 主

aa, 工
ab, 节
ac, 芭
ad, 其
ae, 功
ag, 七
ah, 牙
ai, 东
aj, 划
ak, 或
al, 苗
am, 黄
an, 世
ao, 蔗
ap, 劳
aq, 获
ar, 区
as, 苛
at, 攻
au, 蒋
av, 切
aw, 共
ax, 药
ay, 芳
ba, 陈
bb, 子
bc, 取
bd, 随
be, 阴
bf, 际
bg, 卫
bh, 耻
bi, 孙
bj, 阳
bk, 职
bl, 阵
bm, 出
bn, 也
bo, 耿
bp, 院
bq, 隐
br, 孤
bs, 阿
bt, 降
bu, 联
bv, 限
bw, 队
bx, 陛
by, 及
ca, 戏
cb, 邓
cc, 又
cd, 参
ce, 能
cf, 对
cg, 马
ck, 台
cm, 观
cn, 巴
cq, 允
ct, 矣
cv, 艰
cw, 难
cy, 叉
da, 左
db, 顾
dc, 友
dd, 大
de, 胡
df, 夺
dh, 还
di, 耗
dj, 百
dk, 右
dl, 奋
dm, 面
dn, 成
do, 矿
dp, 达
dq, 克
dr, 原
ds, 厅
dt, 故
du, 磁
dv, 碌
dw, 春
dx, 龙
dy, 太
ea, 毁
eb, 服
ec, 肥
ed, 须
ee, 月
ef, 脚
eg, 且
eh, 用
ei, 膛
ej, 胆
ek, 加
el, 舅
em, 觅
en, 力
eo, 脏
ep, 边
eq, 胸
er, 貌
es, 采
et, 胜
eu, 脱
ev, 妥
ew, 办
ex, 脂
ey, 脑
fa, 域
fb, 地
fc, 去
fd, 城
fe, 协
ff, 土
fg, 二
fh, 起
fi, 示
fj, 进
fk, 喜
fl, 载
fm, 南
fn, 志
fo, 赤
fp, 过
fq, 无
fr, 垢
fs, 霜
ft, 才
fu, 增
fv, 雪
fw, 夫
fx, 盏
fy, 裁
ga, 开
gb, 击
gc, 到
gd, 天
ge, 表
gf, 于
gg, 五
gh, 下
gi, 求
gj, 理
gk, 事
gl, 画
gm, 现
gn, 与
go, 来
gq, 万
gr, 珠
gs, 末
gt, 麦
gu, 平
gv, 妻
gw, 珍
gx, 互
gy, 玉
ha, 虑
hc, 皮
hd, 非
he, 肯
hg, 上
hh, 止
hj, 旧
hk, 占
hl, 卤
hm, 贞
hn, 卢
ho, 眯
hp, 瞎
hq, 餐
hs, 盯
ht, 睡
hu, 瞳
hv, 眼
hw, 具
hx, 此
hy, 眩
ia, 江
ib, 池
ic, 汉
id, 尖
ie, 肖
if, 法
ig, 光
ih, 小
ii, 水
ij, 温
ik, 溃
il, 渐
im, 油
in, 泥
io, 淡
ip, 学
iq, 沟
ir, 派
is, 河
it, 少
iu, 洋
iv, 当
iw, 没
ix, 涨
iy, 流
ja, 暴
jb, 最
jc, 紧
jd, 晨
je, 明
jf, 时
jg, 量
jh, 申
ji, 晃
jj, 日
jk, 蝇
jl, 曙
jm, 遇
jn, 电
jo, 显
jp, 晕
jq, 晚
jr, 蝗
js, 果
jt, 昨
ju, 暗
jv, 归
jw, 蛤
jx, 昆
jy, 景
ka, 呀
kb, 啊
kc, 吧
kd, 顺
ke, 另
kf, 叶
kg, 号
kh, 中
ki, 吵
kj, 虽
kk, 吕
kl, 喂
km, 员
kn, 叫
ko, 嘛
kp, 喧
kq, 兄
kr, 听
ks, 呆
kt, 吃
kv, 啸
kw, 只
kx, 哟
ky, 咬
lc, 轻
ld, 因
le, 男
lf, 团
lg, 车
lh, 四
lj, 辊
lk, 回
ll, 田
lm, 轴
ln, 思
lp, 连
lq, 罗
lr, 斩
ls, 困
lt, 图
lu, 圈
lv, 轨
lw, 界
lx, 累
ly, 较
ma, 曲
mb, 邮
mc, 峻
md, 央
me, 骨
mf, 周
mg, 峡
mh, 由
mi, 峭
mj, 则
ml, 崭
mm, 山
mn, 岂
mp, 迪
mq, 见
mr, 刚
mt, 败
mu, 赠
mw, 内
mx, 幽
my, 丹
na, 展
nb, 敢
nc, 怪
nd, 居
nf, 导
ng, 那
nh, 收
ni, 尿
nj, 慢
nk, 避
nl, 惭
nm, 届
nn, 已
no, 屡
np, 忱
nq, 懈
nr, 怕
nt, 必
nu, 习
nv, 恨
nw, 惟
nx, 惯
ny, 心
oa, 度
ob, 籽
oc, 序
od, 类
oe, 粗
of, 庄
og, 业
oh, 店
oi, 应
oj, 烛
ok, 燥
ol, 烟
om, 庙
on, 断
oo, 火
op, 迷
oq, 底
or, 煌
os, 灯
ot, 庭
ou, 料
ov, 数
ow, 府
ox, 庇
oy, 广
pa, 宽
pb, 字
pd, 害
pe, 农
pf, 守
pg, 定
ph, 官
pi, 宵
pj, 审
pk, 宫
pl, 军
pm, 宙
pn, 密
po, 灾
pp, 之
pq, 冤
pr, 宾
ps, 宁
pt, 客
pu, 实
pv, 安
pw, 空
px, 它
py, 社
qa, 错
qb, 迎
qc, 色
qd, 然
qe, 解
qf, 钱
qg, 印
qh, 外
qi, 销
qj, 旬
qk, 名
ql, 甸
qm, 负
qn, 饭
qo, 炙
qp, 锭
qq, 多
qr, 铁
qs, 钉
qt, 儿
qu, 匀
qv, 争
qw, 欠
qy, 久
ra, 找
rb, 报
rc, 把
rd, 振
re, 摇
rf, 质
rg, 后
rh, 年
ri, 朱
