a, 工
b, 了
c, 以
d, 在
e, 有
f, 地
g, 一
h, 上
i, 不
j, 是
k, 中
l, 国
m, 同
n, 民
o, 为
p, 这
q, 我
r, 的
s, 要
t, 和
u, 产
v, 发
w, 人
x, 经
y, 主

aa, 式
ab, 节
ac, 芭
ad, 苦
ae, 功
af, 革
ag, 七
ah, 牙
ai, 东
aj, 划
ak, 或
al, 苗
am, 贡
an, 艺
ao, 蘑
ap, 芝
aq, 匹
ar, 区
as, 莆
at, 攻
au, 蒋
av, 切
aw, 共
ax, 药
ay, 芳
ba, 陈
ba, 聝
bb, 子
bc, 取
bd, 承
be, 阴
bf, 际
bg, 卫
bh, 耻
bi, 孙
bj, 阳
bk, 职
bl, 阵
bm, 出
bn, 也
bo, 耿
bp, 辽
bq, 陶
br, 孤
bs, 阿
bt, 降
bu, 联
bv, 限
bw, 队
bx, 陛
by, 及
ca, 戏
cb, 邓
cc, 双
cd, 参
ce, 能
cf, 对
cg, 马
cj, 犦
ck, 台
cl, 犤
cm, 观
cm, 牰
cn, 予
cq, 物
cs, 牺
ct, 矣
cv, 艰
cw, 难
cy, 叉
da, 左
db, 破
dc, 友
dd, 大
de, 历
df, 夺
dh, 还
di, 砂
dj, 百
dk, 右
dl, 面
dm, 而
dn, 成
do, 矿
dp, 达
dq, 克
dr, 原
ds, 厅
dt, 故
du, 辜
dv, 肆
dw, 其
dx, 龙
dy, 太
ea, 肛
eb, 服
ec, 肥
ed, 须
ee, 朋
ef, 肚
eg, 且
eh, 毡
ei, 膛
ej, 胆
ek, 加
el, 舆
em, 觅
en, 力
eo, 脏
ep, 边
eq, 胸
er, 貌
es, 采
et, 用
eu, 胶
ev, 妥
ew, 办
ex, 脂
ey, 肪
fa, 域
fb, 坡
fc, 支
fd, 城
fe, 协
ff, 寺
fg, 十
fh, 直
fi, 示
fj, 刊
fk, 吉
fl, 雷
fm, 南
fn, 志
fo, 赤
fp, 过
fq, 无
fr, 垢
fs, 某
ft, 才
fu, 增
fv, 雪
fw, 零
fy, 坊
ga, 开
gb, 击
gc, 到
gd, 天
ge, 表
gf, 于
gg, 五
gh, 下
gi, 求
gj, 理
gk, 事
gl, 画
gm, 现
gn, 与
go, 亚
gq, 万
gs, 末
gt, 麦
gu, 来
gv, 妻
gw, 珍
gx, 互
gy, 玉
ha, 瞒
hd, 非
he, 肯
hf, 睦
hg, 睛
hh, 步
hi, 叔
hj, 旧
hk, 占
hl, 卤
hm, 贞
hn, 虑
ho, 虚
hp, 瞎
hq, 餐
hs, 盯
ht, 睡
hu, 瞳
hv, 眼
hw, 具
hx, 此
ia, 江
ib, 波
ic, 汉
id, 尖
ie, 肖
if, 汗
ig, 光
ih, 小
ii, 水
ij, 浊
ik, 溃
im, 油
in, 沁
io, 渡
ip, 党
iq, 沟
ir, 汽
is, 浦
it, 少
iu, 洋
iv, 当
iw, 没
ix, 涨
iy, 济
ja, 晓
jb, 最
jc, 坚
jd, 晨
je, 明
jf, 时
jg, 量
jh, 早
ji, 晃
jj, 昌
jk, 蝇
jl, 曙
jm, 遇
jn, 电
jo, 显
jp, 蛇
jq, 晚
js, 果
jt, 鉴
ju, 暗
jv, 归
jw, 蛤
jx, 昆
jy, 影
ka, 呀
kb, 啊
kc, 吧
kd, 顺
ke, 另
kf, 叶
kg, 号
kh, 足
ki, 吵
kj, 虽
kk, 吕
kl, 喂
km, 员
kn, 叫
ko, 嘛
kp, 喧
kq, 兄
kr, 听
ks, 呆
kt, 吃
ku, 咬
kv, 啸
kw, 只
kx, 哟
ky, 唁
lc, 轻
ld, 因
le, 男
lf, 团
lg, 车
lh, 四
li, 輎
lj, 辊
lk, 回
ll, 田
lm, 轴
ln, 思
lp, 连
lq, 罗
lr, 斩
ls, 困
lt, 略
lu, 较
lv, 轨
lw, 界
lx, 累
ly, 罚
ma, 曲
mb, 邮
mc, 峻
md, 央
me, 骨
mf, 财
mg, 赋
mh, 由
mi, 峭
mj, 则
ml, 崭
mm, 册
mn, 岂
mo, 赃
mp, 迪
mq, 见
mr, 冈
mt, 败
mu, 赠
mw, 内
mx, 幽
my, 丹
na, 异
nb, 敢
nc, 怪
nd, 居
ne, 尾
nf, 导
ng, 那
nh, 收
ni, 尿
nj, 慢
nk, 避
nl, 惭
nm, 届
nn, 已
no, 屡
np, 忱
nq, 懈
nr, 怕
ns, 懒
nt, 改
nu, 习
nv, 恨
nw, 恰
nx, 尼
ny, 心
oa, 席
ob, 籽
oc, 序
od, 类
oe, 粗
of, 庄
og, 精
oh, 业
oi, 应
oj, 烛
ok, 燥
ol, 库
om, 灿
on, 断
oo, 炎
op, 迷
oq, 底
or, 粕
os, 床
ot, 庭
ou, 粒
ov, 数
ow, 府
ox, 鹿
oy, 广
pa, 赛
pb, 字
pd, 害
pe, 农
pf, 守
pg, 家
ph, 寂
pi, 宵
pj, 审
pk, 宫
pl, 军
pm, 宙
pn, 官
po, 灾
po, 冞
pp, 之
pq, 宛
pr, 宾
pr, 寙
ps, 宁
pt, 客
pu, 实
pv, 安
pw, 空
px, 它
py, 社
qa, 氏
qb, 迎
qc, 色
qd, 然
qe, 角
qf, 针
qg, 钱
qh, 外
qi, 尔
qj, 旬
qk, 名
ql, 甸
qm, 负
qn, 包
qo, 炙
qp, 锭
qq, 多
qr, 勿
qs, 钉
qt, 儿
qu, 匀
